experiment_id,compressate_id,prompt_id,source,source_id,source_prop,redundancy_type,rate_label,target_ratio,achieved_ratio,n_tokens_raw,n_tokens_redundant,n_tokens_compressed,redundancy_added_tokens,compression_removed_tokens,model,output,gold_answer,is_correct,seed,raw_path,redundant_path,compressed_path,inference_path,metric_gold_retained
popqa-occupation-demo,p-4222362__baseline__cr020,p-4222362,popqa,4222362,occupation,baseline,cr020,0.2,0.2083,48,48,10,0,38,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/baseline.json,03_compressed/p-4222362/baseline/cr020.json,04_inference/p-4222362/baseline/cr020.json,0.0
popqa-occupation-demo,p-4222362__baseline__cr040,p-4222362,popqa,4222362,occupation,baseline,cr040,0.4,0.3958,48,48,19,0,29,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/baseline.json,03_compressed/p-4222362/baseline/cr040.json,04_inference/p-4222362/baseline/cr040.json,0.0
popqa-occupation-demo,p-4222362__baseline__cr060,p-4222362,popqa,4222362,occupation,baseline,cr060,0.6,0.6042,48,48,29,0,19,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/baseline.json,03_compressed/p-4222362/baseline/cr060.json,04_inference/p-4222362/baseline/cr060.json,0.0
popqa-occupation-demo,p-4222362__baseline__cr080,p-4222362,popqa,4222362,occupation,baseline,cr080,0.8,0.7917,48,48,38,0,10,offline-gold-containment,politician,politician,True,42,01_raw/p-4222362.json,02_redundant/p-4222362/baseline.json,03_compressed/p-4222362/baseline/cr080.json,04_inference/p-4222362/baseline/cr080.json,1.0
popqa-occupation-demo,p-4222362__demonstrations__cr020,p-4222362,popqa,4222362,occupation,demonstrations,cr020,0.2,0.1974,48,76,15,28,61,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/demonstrations.json,03_compressed/p-4222362/demonstrations/cr020.json,04_inference/p-4222362/demonstrations/cr020.json,0.0
popqa-occupation-demo,p-4222362__demonstrations__cr040,p-4222362,popqa,4222362,occupation,demonstrations,cr040,0.4,0.3947,48,76,30,28,46,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/demonstrations.json,03_compressed/p-4222362/demonstrations/cr040.json,04_inference/p-4222362/demonstrations/cr040.json,0.0
popqa-occupation-demo,p-4222362__demonstrations__cr060,p-4222362,popqa,4222362,occupation,demonstrations,cr060,0.6,0.6053,48,76,46,28,30,offline-gold-containment,politician,politician,True,42,01_raw/p-4222362.json,02_redundant/p-4222362/demonstrations.json,03_compressed/p-4222362/demonstrations/cr060.json,04_inference/p-4222362/demonstrations/cr060.json,1.0
popqa-occupation-demo,p-4222362__demonstrations__cr080,p-4222362,popqa,4222362,occupation,demonstrations,cr080,0.8,0.8026,48,76,61,28,15,offline-gold-containment,politician,politician,True,42,01_raw/p-4222362.json,02_redundant/p-4222362/demonstrations.json,03_compressed/p-4222362/demonstrations/cr080.json,04_inference/p-4222362/demonstrations/cr080.json,1.0
popqa-occupation-demo,p-4222362__instructions__cr020,p-4222362,popqa,4222362,occupation,instructions,cr020,0.2,0.1972,48,71,14,23,57,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/instructions.json,03_compressed/p-4222362/instructions/cr020.json,04_inference/p-4222362/instructions/cr020.json,0.0
popqa-occupation-demo,p-4222362__instructions__cr040,p-4222362,popqa,4222362,occupation,instructions,cr040,0.4,0.3944,48,71,28,23,43,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/instructions.json,03_compressed/p-4222362/instructions/cr040.json,04_inference/p-4222362/instructions/cr040.json,0.0
popqa-occupation-demo,p-4222362__instructions__cr060,p-4222362,popqa,4222362,occupation,instructions,cr060,0.6,0.6056,48,71,43,23,28,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/instructions.json,03_compressed/p-4222362/instructions/cr060.json,04_inference/p-4222362/instructions/cr060.json,0.0
popqa-occupation-demo,p-4222362__instructions__cr080,p-4222362,popqa,4222362,occupation,instructions,cr080,0.8,0.8028,48,71,57,23,14,offline-gold-containment,politician,politician,True,42,01_raw/p-4222362.json,02_redundant/p-4222362/instructions.json,03_compressed/p-4222362/instructions/cr080.json,04_inference/p-4222362/instructions/cr080.json,1.0
popqa-occupation-demo,p-4222362__lexical__cr020,p-4222362,popqa,4222362,occupation,lexical,cr020,0.2,0.1972,48,71,14,23,57,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/lexical.json,03_compressed/p-4222362/lexical/cr020.json,04_inference/p-4222362/lexical/cr020.json,0.0
popqa-occupation-demo,p-4222362__lexical__cr040,p-4222362,popqa,4222362,occupation,lexical,cr040,0.4,0.3944,48,71,28,23,43,offline-gold-containment,,politician,False,42,01_raw/p-4222362.json,02_redundant/p-4222362/lexical.json,03_compressed/p-4222362/lexical/cr040.json,04_inference/p-4222362/lexical/cr040.json,0.0
popqa-occupation-demo,p-4222362__lexical__cr060,p-4222362,popqa,4222362,occupation,lexical,cr060,0.6,0.6056,48,71,43,23,28,offline-gold-containment,politician,politician,True,42,01_raw/p-4222362.json,02_redundant/p-4222362/lexical.json,03_compressed/p-4222362/lexical/cr060.json,04_inference/p-4222362/lexical/cr060.json,1.0
popqa-occupation-demo,p-4222362__lexical__cr080,p-4222362,popqa,4222362,occupation,lexical,cr080,0.8,0.8028,48,71,57,23,14,offline-gold-containment,politician,politician,True,42,01_raw/p-4222362.json,02_redundant/p-4222362/lexical.json,03_compressed/p-4222362/lexical/cr080.json,04_inference/p-4222362/lexical/cr080.json,1.0
popqa-occupation-demo,p-4382392__baseline__cr020,p-4382392,popqa,4382392,occupation,baseline,cr020,0.2,0.2083,48,48,10,0,38,offline-gold-containment,,politician,False,42,01_raw/p-4382392.json,02_redundant/p-4382392/baseline.json,03_compressed/p-4382392/baseline/cr020.json,04_inference/p-4382392/baseline/cr020.json,0.0
popqa-occupation-demo,p-4382392__baseline__cr040,p-4382392,popqa,4382392,occupation,baseline,cr040,0.4,0.3958,48,48,19,0,29,offline-gold-containment,,politician,False,42,01_raw/p-4382392.json,02_redundant/p-4382392/baseline.json,03_compressed/p-4382392/baseline/cr040.json,04_inference/p-4382392/baseline/cr040.json,0.0
popqa-occupation-demo,p-4382392__baseline__cr060,p-4382392,popqa,4382392,occupation,baseline,cr060,0.6,0.6042,48,48,29,0,19,offline-gold-containment,,politician,False,42,01_raw/p-4382392.json,02_redundant/p-4382392/baseline.json,03_compressed/p-4382392/baseline/cr060.json,04_inference/p-4382392/baseline/cr060.json,0.0
popqa-occupation-demo,p-4382392__baseline__cr080,p-4382392,popqa,4382392,occupation,baseline,cr080,0.8,0.7917,48,48,38,0,10,offline-gold-containment,politician,politician,True,42,01_raw/p-4382392.json,02_redundant/p-4382392/baseline.json,03_compressed/p-4382392/baseline/cr080.json,04_inference/p-4382392/baseline/cr080.json,1.0
popqa-occupation-demo,p-4382392__demonstrations__cr020,p-4382392,popqa,4382392,occupation,demonstrations,cr020,0.2,0.1974,48,76,15,28,61,offline-gold-containment,,politician,False,42,01_raw/p-4382392.json,02_redundant/p-4382392/demonstrations.json,03_compressed/p-4382392/demonstrations/cr020.json,04_inference/p-4382392/demonstrations/cr020.json,0.0
popqa-occupation-demo,p-4382392__demonstrations__cr040,p-4382392,popqa,4382392,occupation,demonstrations,cr040,0.4,0.3947,48,76,30,28,46,offline-gold-containment,,politician,False,42,01_raw/p-4382392.json,02_redundant/p-4382392/demonstrations.json,03_compressed/p-4382392/demonstrations/cr040.json,04_inference/p-4382392/demonstrations/cr040.json,0.0
